HUC_12,waterid,Year,observed_load_kg_yr,predicted_load_kg_yr,observed_yield_kg_km2_yr,predicted_yield_kg_km2_yr,demiarea,demtarea
70200060704,7020006070403,2003,677264.3910227023,617472.06,9514.840809780124,8674.822467065247,71.17979213341701,1619.4307231637365
70101060806,7010106080604,2004,191165.7623091732,136782.95,7500.42241054288,5366.703175126755,25.487332825477043,2365.5681484474185
70200060704,7020006070404,2004,1063300.55912517,1070020.5,14938.236362536087,15032.644349317423,71.17979213341701,1619.4307231637365
70101060806,7010106080605,2005,246777.84385589085,136661.52,9682.372241367391,5361.938847653515,25.487332825477043,2365.5681484474185
70200060704,7020006070405,2005,1336009.4331009914,898856.44,18769.504561025133,12627.972252506914,71.17979213341701,1619.4307231637365
70101060806,7010106080606,2006,211611.60244966496,84758.27,8302.618555604171,3325.50567689358,25.487332825477043,2365.5681484474185
70200060704,7020006070406,2006,2129594.688998201,662020.9,29918.529194445528,9300.686053692461,71.17979213341701,1619.4307231637365
70101060806,7010106080607,2007,186111.062111124,94530.516,7302.100356498977,3708.9214727681374,25.487332825477043,2365.5681484474185
70200060704,7020006070407,2007,1229021.2699848968,1155725.8,17266.43522196947,16236.71220946735,71.17979213341701,1619.4307231637365
70101060806,7010106080608,2008,548538.0513348453,128444.61,21521.987219726994,5039.546934138485,25.487332825477043,2365.5681484474185
70200060704,7020006070408,2008,1298546.1840953494,1044678.6,18243.18595453887,14676.617740634723,71.17979213341701,1619.4307231637365
70101060806,7010106080609,2009,339534.4053708919,126547.125,13321.69229694739,4965.098775400459,25.487332825477043,2365.5681484474185
70200060704,7020006070409,2009,521101.3408450319,728598.9,7320.916867364505,10236.03579277583,71.17979213341701,1619.4307231637365
70101060806,7010106080610,2010,435459.3429728159,124660.02,17085.324147277286,4891.057877793722,25.487332825477043,2365.5681484474185
70200060704,7020006070410,2010,3691422.3197997897,2625308.2,51860.538070702874,36882.77418792135,71.17979213341701,1619.4307231637365
70101060806,7010106080611,2011,388546.7139909853,120480.49,15244.698872633524,4727.073280871828,25.487332825477043,2365.5681484474185
70200060704,7020006070411,2011,4229249.623696861,1559167.4,59416.436841648785,21904.63547684361,71.17979213341701,1619.4307231637365
70101060806,7010106080612,2012,257286.40896043545,82548.66,10094.677647213557,3238.8112387140277,25.487332825477043,2365.5681484474185
70200060704,7020006070412,2012,606673.4012823846,746047.0,8523.112854070385,10481.162948630625,71.17979213341701,1619.4307231637365
70101060806,7010106080613,2013,210265.48981987173,153809.0,8249.803589086856,6034.723250690755,25.487332825477043,2365.5681484474185
70200060704,7020006070413,2013,782581.8331960491,922811.6,10994.4383053157,12964.516646386279,71.17979213341701,1619.4307231637365
70101060806,7010106080614,2014,213908.15199192704,166650.34,8392.724082062648,6538.555491118982,25.487332825477043,2365.5681484474185
70200060704,7020006070414,2014,986236.5941998858,1225152.5,13855.570024021947,17212.083138759597,71.17979213341701,1619.4307231637365
70101060806,7010106080615,2015,210903.56098050537,93304.84,8274.838423645762,3660.8318586687433,25.487332825477043,2365.5681484474185
