waterid,HUC_12,Year,feature_Precipitation_mm,feature_Tile_Drainage_pct,feature_Clay_Soil_pct,feature_Air_Temperature_degC,feature_CRP_pct,feature_No_Till_pct,feature_Cover_Crop_pct,feature_Forest_pct,feature_Wetlands_pct,SHAP_Precipitation_mm,SHAP_Tile_Drainage_pct,SHAP_Clay_Soil_pct,SHAP_Air_Temperature_degC,SHAP_CRP_pct,SHAP_No_Till_pct,SHAP_Cover_Crop_pct,SHAP_Forest_pct,SHAP_Wetlands_pct
7020006050212,70200060502,2012,-196.96822,52.002354,3.837516,0.5644486,0.49643323,-25.863472,0.0,0.20169105,0.83973294,-0.07001662999391556,0.13285468518733978,-0.005371403880417347,-0.006955618038773537,0.004006126895546913,-0.04664076492190361,0.0034087258391082287,0.054826971143484116,0.04583808407187462
7080206020214,70802060202,2014,125.00208,35.314636,2.4948556,-1.2183235,-0.622052,-1.7893966,0.10834166,4.185554,1.4002131,0.024022774770855904,0.07764943689107895,0.0038466942496597767,0.04767761379480362,0.007477790117263794,-0.010241673327982426,0.0031784453894943,0.025710657238960266,0.034529827535152435
7060006060516,70600060605,2016,189.69405,19.265238,-0.09787569,0.82986474,0.99894744,15.763796,1.3733443,15.076857,0.2642362,0.042372189462184906,0.02233470417559147,0.021686486899852753,-0.015016975812613964,0.0026347197126597166,0.016168000176548958,-0.00024575338466092944,-0.05476978421211243,0.058723438531160355
7100003030309,71000030303,2009,-108.11252,38.527935,3.265469,-1.7591821,0.022578651,-21.144236,0.0,1.7579502,4.9156885,-0.043684639036655426,0.08554679155349731,-0.001242549973540008,0.06314990669488907,0.005510796792805195,-0.03874804824590683,0.0033450403716415167,0.04254591464996338,-0.04836909472942352
7050006050707,70500060507,2007,-192.41437,-22.922338,-14.765611,-1.5652661,1.4063767,-26.789396,0.0,46.205788,13.472746,-0.03336429223418236,-0.0796508714556694,0.08923690021038055,0.03482290357351303,-0.005314021836966276,-0.02137880027294159,0.002281499095261097,-0.21244148910045624,-0.1147470697760582
7080204050218,70802040502,2018,513.8051,48.74816,0.023798596,-1.2689633,0.9440624,-7.4911513,9.457696,0.7355348,0.2687715,0.1392301619052887,0.12395454198122025,0.020708788186311722,0.049431830644607544,0.003064889693632722,-0.018855679780244827,-0.022554131224751472,0.05159306898713112,0.062407273799180984
7100006150520,71000061505,2020,-219.23535,22.73843,-1.2386565,1.5233457,-0.05021595,20.14938,3.574489,9.0702915,4.357752,-0.0694798082113266,0.029953401535749435,0.02873764932155609,-0.03360671550035477,0.005927132908254862,0.01971578598022461,-0.004947548732161522,-0.011629121378064156,-0.03601079434156418
7040003040414,70400030404,2014,25.1181,-22.947985,-5.949984,-3.2372482,-1.2969549,-26.789396,0.24889083,53.399918,1.2812855,-0.0030196120496839285,-0.07756773382425308,0.04672829806804657,0.07053869217634201,0.01170355174690485,-0.02304256707429886,0.0017219618894159794,-0.2584180533885956,0.01235926616936922
7040005040416,70400050404,2016,255.9535,-22.853481,-11.58475,0.10226744,-0.7332264,-26.789396,1.1870672,36.704586,1.6742963,0.04030713438987732,-0.091579869389534,0.08662492036819458,0.005699344910681248,0.008155914954841137,-0.033391617238521576,0.0001666359748924151,-0.18611621856689453,0.013080005533993244
7130001050215,71300010502,2015,201.38197,30.118425,6.4406705,0.52149683,-1.3830527,-1.9245323,2.478998,1.6524847,0.36281988,0.04660358279943466,0.060413867235183716,-0.023221708834171295,-0.005839896388351917,0.009645085781812668,-0.010408151894807816,-0.0032842790242284536,0.04457211494445801,0.05907515063881874
7130007030320,71300070303,2020,51.264183,18.781904,10.46853,3.4010658,-0.72334445,4.535905,2.0258963,4.4582505,1.3670008,0.002115627285093069,0.02075905352830887,-0.05036425590515137,-0.0924227237701416,0.007894763723015785,-0.000648547662422061,-0.0019316764082759619,0.023223405703902245,0.032696209847927094
7130001150317,71300011503,2017,-30.444979,16.150896,6.804181,2.7910175,-0.8743724,-10.122729,5.14686,22.631931,8.143125,-0.016949323937296867,0.008212604559957981,-0.02260454185307026,-0.05729808658361435,0.01139031257480383,-0.020254123955965042,-0.0060424781404435635,-0.10423976927995682,-0.10401906818151474
7080206080607,70802060806,2007,172.16982,-9.024437,1.0716324,2.0238988,2.6305745,32.82599,0.0,7.6686344,19.031933,0.02554774470627308,-0.06504157185554504,0.013686621561646461,-0.03729278966784477,-0.013638916425406933,0.03167998418211937,0.002358929719775915,-0.0034217447973787785,-0.26853057742118835
7040002080117,70400020801,2017,-44.38484,-11.029215,-1.7372855,-1.2493467,-1.4786332,-12.273268,2.6984391,5.5917873,0.55048686,-0.023543793708086014,-0.07648643851280212,0.031909216195344925,0.04534292593598366,0.011923610232770443,-0.022197814658284187,-0.00314332265406847,0.013148359954357147,0.044783495366573334
7100007070309,71000070703,2009,5.720719,9.980851,10.436389,-0.094040975,4.771728,73.2106,0.0,17.886383,2.2519476,-0.009948243387043476,-0.010133282281458378,-0.044979434460401535,0.01268785446882248,-0.006086019799113274,0.09012848883867264,0.003437674604356289,-0.07478087395429611,0.00974690169095993
