site_no,watershed_label,watershed_area_miles2,watershed_area_km2,SPARROW_static_inc_load_2001_2005_kg_yr,dPL_inc_load_2016_2020_kg_yr,SPARROW_static_inc_yield_2001_2005_kg_km2_yr,dPL_inc_yield_2016_2020_kg_km2_yr,WRTDS_inc_load_2001_2005_kg_yr,WRTDS_inc_load_2016_2020_kg_yr,mean_discharge_2001_2005_m3_s,mean_discharge_2016_2020_m3_s,residual_yield_2001_2005_kg_ha_yr,residual_yield_2016_2020_kg_ha_yr
USGS-05539900,S2_1_4_1_1,28.5,73.81471499999999,104407.2587358725,185932.2276248574,14.144504755707926,25.18904633376386,185833.79335276672,267761.3525330847,1.286155444714365,1.713898700978888,11.031206259740246,11.085746914856651
USGS-05540095,S2_1_4_1,62.2,161.097378,176870.69551087986,127092.70476927864,10.979116960605024,7.889185183962377,296969.9913385151,510667.9201450321,3.147336011533797,4.868072480521848,7.455074521922711,23.810146393304645
USGS-05540500,S2_1_4,233.3,604.2446669999999,1151601.9912189594,1517791.501024472,19.05853794186585,25.11882328329217,1267501.6000693806,1406559.8357587936,11.11322510591751,18.617788972635676,1.9180907202019404,-1.8408381793078936
USGS-05542000,S2_1_6,455.0,1178.44545,1243938.9193751249,2420620.841162254,10.55576157025448,20.540796700961035,3069446.209874359,3720605.956694665,9.379487817549649,16.332679148437148,15.490808594485507,11.031355889510294
USGS-05543500,S2_1,1492.5,3865.560075,11161365.952542793,11071796.200392727,28.873864940626472,28.642152716751472,5425990.532838993,17183211.0356101,265.0006845340352,369.20064566978965,-14.837113661217126,15.809907792514055
USGS-05548280,S2_2_1,192.0,497.27807999999993,172742.3773966838,405283.5081256866,3.473758131399715,8.150037663548064,317194.12956560036,577628.4405031132,3.231346681251232,7.477449790663064,2.904848574240727,3.4657657216144866
USGS-05550500,S2_2_2,35.2,91.167648,11543.147606473094,22840.1737598695,1.26614515781663,2.505293737518544,19295.49767360976,20570.126182471773,0.796644188563096,1.572204790503529,0.850340031491946,-0.24899705402049274
USGS-05551700,S2_2_3,70.2,181.817298,146197.56946683762,249200.38697554497,8.040905407517256,13.7060879089483,124810.29736128256,139187.12166012375,1.264999809333657,2.502994475142343,-1.1763056838274575,-6.0507590050876905
USGS-05552500,S2_2,2344.6,6072.490553999999,4607160.172025408,9364514.948931793,7.586936745402814,15.421209577285074,6212487.5162624065,9724404.108239233,51.550178365642935,104.16158420911265,2.643606161197824,0.5926549512215853
USGS-05554500,S2_3_1,579.0,1499.60421,2693473.16149499,3823703.2833695645,17.961226992654215,25.49808314668285,4296779.637874571,4488541.839505882,12.35911153618914,17.879655170449908,10.691530909876418,4.433426844916083
